evaluateur_id,evalue_id,score,commentaires
17,275,2,"Bof, la qualité est bof."
148,71,5,
156,64,1,
212,229,1,
191,145,5,
295,214,1,
138,196,5,
127,281,2,
55,282,3,
77,244,4,
19,103,1,
69,83,2,
42,19,2,
331,185,2,
23,148,3,
68,233,2,
249,297,4,
206,56,3,
73,208,1,
36,274,2,
392,17,3,
64,67,1,
44,242,1,
104,145,3,
34,48,4,
209,212,1,
265,109,3,
23,116,1,
353,4,1,
214,177,4,
341,97,2,
376,65,4,
305,263,2,
91,103,4,
170,150,3,
260,207,3,
26,285,4,
98,75,2,
215,203,4,
78,197,1,
55,271,5,époustouflant
177,269,1,
75,211,3,
345,316,4,
197,173,3,
37,166,2,
208,218,4,
380,123,4,
1,26,5,
169,259,4,
380,40,5,
313,226,5,
320,88,3,
181,223,2,
41,241,5,
44,174,2,
283,214,3,
33,200,1,
50,241,2,
30,210,3,
350,255,1,
109,223,4,
112,240,2,
319,23,5,
90,58,5,
20,265,1,
21,264,5,
48,51,2,
138,166,5,
75,308,1,
178,163,4,
115,47,4,
214,211,4,
124,320,1,
89,276,5,
56,211,5,
18,285,1,
222,68,3,
95,201,2,
30,263,4,
383,43,3,
385,169,5,
231,216,5,
122,96,4,
158,286,3,
125,89,3,
123,104,3,
157,295,3,
358,262,1,
241,13,5,
177,141,4,
71,375,5,
74,242,5,
81,322,5,
315,270,5,
233,09,1,
80,10,1,
111,22,2,
55,191,5,
97,113,5,
51,282,3,
18,170,4,
04,93,3,
290,231,4,
323,268,3,
102,267,5,
55,38,4,
18,163,4,
68,267,5,
40,241,3,
358,280,4,
211,25,4,
97,281,3,
63,187,3,
42,267,3,
58,187,5,
206,183,3,
9,273,5,
58,162,4,
65,201,4,
173,236,5,
83,246,4,
16,23,4,
12,15,3,
102,259,5,
7,32,3,
297,221,5,
260,123,5,
184,23,4,
138,132,3,
70,203,4,
246,14,5,
354,68,5,
108,210,5,
33,213,4,
374,218,4,
185,44,5,
359,125,5,
67,154,4,
59,127,4,
214,286,5,
40,168,5,
373,183,5,
142,246,3,
373,206,3,
152,285,4,
54,146,4,
81,183,5,
133,371,3,
64,210,4,
218,208,4,
43,271,3,
260,262,3,
292,283,5,
22,351,4,
92,185,4,
179,166,3,
75,240,4,
6,201,4,
147,258,4,
82,254,3,
275,290,4,
188,271,3,
211,252,4,
136,153,4,
02,179,3,
221,189,3,
04,256,4,
75,138,5,
383,188,4,
44,64,5,
40,82,4,
346,71,3,
340,109,5,
334,236,4,
356,86,4,
115,89,4,
39,97,3,
392,175,4,
122,108,5,
392,93,3,
373,212,3,
18,202,5,
158,214,5,
195,234,4,
39,35,4,
191,110,4,
321,217,3,
19,144,4,
88,23,4,
96,292,5,
350,108,3,
73,112,5,
257,296,5,
351,164,4,
196,20,5,
177,277,3,
41,254,3,
212,252,3,
78,288,5,
